mrdoob/three.js,112389,JavaScript,https://github.com/mrdoob/three.js
Comfy-Org/ComfyUI,112272,Python,https://github.com/Comfy-Org/ComfyUI
Hack-with-Github/Awesome-Hacking,111968,,https://github.com/Hack-with-Github/Awesome-Hacking
microsoft/generative-ai-for-beginners,110586,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners
godotengine/godot,110536,C++,https://github.com/godotengine/godot
Shubhamsaboo/awesome-llm-apps,109593,Python,https://github.com/Shubhamsaboo/awesome-llm-apps
ggml-org/llama.cpp,109390,C++,https://github.com/ggml-org/llama.cpp
axios/axios,109041,JavaScript,https://github.com/axios/axios
microsoft/TypeScript,108803,TypeScript,https://github.com/microsoft/TypeScript
denoland/deno,106634,Rust,https://github.com/denoland/deno
tauri-apps/tauri,106432,Rust,https://github.com/tauri-apps/tauri
fatedier/frp,106380,Go,https://github.com/fatedier/frp
papers-we-love/papers-we-love,106058,Shell,https://github.com/papers-we-love/papers-we-love
goldbergyoni/nodebestpractices,105259,Dockerfile,https://github.com/goldbergyoni/nodebestpractices
2dust/v2rayN,105126,C#,https://github.com/2dust/v2rayN
jaywcjlove/awesome-mac,103761,Swift,https://github.com/jaywcjlove/awesome-mac
google-gemini/gemini-cli,103617,TypeScript,https://github.com/google-gemini/gemini-cli
deepseek-ai/DeepSeek-V3,103455,Python,https://github.com/deepseek-ai/DeepSeek-V3
facebook/create-react-app,103392,JavaScript,https://github.com/facebook/create-react-app
microsoft/terminal,103087,C++,https://github.com/microsoft/terminal
supabase/supabase,102126,TypeScript,https://github.com/supabase/supabase
immich-app/immich,100233,TypeScript,https://github.com/immich-app/immich
angular/angular,100069,TypeScript,https://github.com/angular/angular
Anduin2017/HowToCook,99834,JavaScript,https://github.com/Anduin2017/HowToCook
pytorch/pytorch,99793,Python,https://github.com/pytorch/pytorch
neovim/neovim,99528,Vim Script,https://github.com/neovim/neovim
openai/whisper,99254,Python,https://github.com/openai/whisper
mtdvio/every-programmer-should-know,98910,,https://github.com/mtdvio/every-programmer-should-know
mui/material-ui,98305,JavaScript,https://github.com/mui/material-ui
fastapi/fastapi,98073,Python,https://github.com/fastapi/fastapi
ant-design/ant-design,97986,TypeScript,https://github.com/ant-design/ant-design
nvbn/thefuck,96857,Python,https://github.com/nvbn/thefuck
msitarzewski/agency-agents,95781,Shell,https://github.com/msitarzewski/agency-agents
microsoft/Web-Dev-For-Beginners,95745,JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners
github/spec-kit,95138,Python,https://github.com/github/spec-kit
tailwindlabs/tailwindcss,94914,TypeScript,https://github.com/tailwindlabs/tailwindcss
ryanmcdermott/clean-code-javascript,94304,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript
puppeteer/puppeteer,94291,TypeScript,https://github.com/puppeteer/puppeteer
iluwatar/java-design-patterns,93976,Java,https://github.com/iluwatar/java-design-patterns
florinpop17/app-ideas,93815,,https://github.com/florinpop17/app-ideas
